ID,Mean Bathy. Depth,Mean Retreat,Mean Fjord Width,Mean TF,Mean Subglacial Discharge,Mean Cross-sectional Area,Mean Undercutting Rate,dist,vel_max,H_mean,sslope_mean,S_mean,Type_EntireRecord
25,243,17.99,3.54,3.94000005722046,2.8,1.19,1.0900000333786,20000,3545.73535,759.571428571429,0.0392184000588878,458.875,8
26,411,20.91,3.01,3.94000005722046,3.57,1.55,1.1599999666214,20000,4954.42627,1223.16666666667,0.028322691588733,745.52380952381,8
27,212,39.93,9.86,2.72000002861023,2.85,2.69,0.589999973773956,20000,2224.61865,1302.32258064516,0.0219834302285387,738.8125,8
28,264,37,6.36,3.60999989509583,2.87,2.02,0.920000016689301,20000,2354.26221,723.2,0.0289577371952387,442.416666666667,2
35,166,3.55,4.27,3.51999998092651,3.76,1.18,0.920000016689301,20000,2022.05896,1186.23333333333,0.0223787067645169,1325.16129032258,4
36,119,7.17,3.97,5.67999982833862,7.55,0.55,1.69000005722046,20000,6336.48779,921.571428571429,0.0289083965515103,853.933333333333,3
38,47,0.9,2.29,-0.0599999986588955,4.22,0.09,0.100000001490116,20000,1544.40161,683.038461538462,0.0231041831648051,1481.7358490566,8
39,175,-0.44,2.43,2.85999989509583,3.73,0.49,0.850000023841858,20000,2590.67261,924,0.0273066908023633,574.954545454545,6
41,355,24.11,9.79,3.67000007629394,4.99,4.63,0.939999997615814,20000,1908.92688,901.5,0.0277253780718898,505.263157894737,1
42,248,1.79,8.38,2.33999991416931,11.34,2.5,0.660000026226044,20000,894.07501,1311.40909090909,0.0178759241369534,1024.91304347826,4
43,274,1.58,1.94,4.36999988555908,1.91,0.62,1.39999997615814,20000,2520.11963,542.28,0.0428116751122654,959.074074074074,7
45,359,3.25,1.2,4.69000005722046,2.07,0.5,1.82000005245209,20000,2935.01978,1348.76470588235,0.0358142143052813,676.238095238095,3
46,263,14.48,3.5,3.82999992370606,1.7,1.15,1.04999995231628,20000,4848.31689,428.833333333333,0.0477153700813426,558.666666666667,1
47,193,0.38,4.85,3.29999995231628,4.19,1.34,0.850000023841858,20000,2040.14282,745.04,0.0294938734096786,675.307692307692,4
48,119,3.66,3.46,0.159999996423721,3.69,0.54,0.0299999993294477,20000,3103.95337,1331.90566037736,0.0228368936848419,1376.05555555556,4
49,212,8.93,2.74,6.94000005722046,6.02,0.59,2.38000011444092,20000,2356.30371,1167.33333333333,0.0263328486447208,690.846153846154,7
50,178,3.38,3.28,2.5,1.7,0.76,0.600000023841858,20000,3105.68066,624.666666666667,0.0472372198103,674.375,7
51,481,113.6,22.08,3.61999988555908,7.69,20.78,0.899999976158142,20000,2025.13232,998.363636363636,0.0071313670724942,503.307692307692,1
53,186,0.74,6.1,4.01999998092651,5.53,1.3,1.01999998092651,20000,1659.03003,631.181818181818,0.0485309017787783,509.384615384615,6
57,15,5.18,2.2,1.67999994754791,1.66,0.04,0.360000014305115,20000,2421.34473,530.767441860465,0.0349510999217861,1164.68181818182,8
58,214,0.25,2.67,3.70000004768372,2.3,0.64,1.10000002384186,20000,2322.38843,886.681818181818,0.0337003371800477,812.913043478261,6
59,251,39.14,4.88,1.44000005722046,1.29,2.33,0.28999999165535,20000,2295.57544,856,0.0260751456481292,685.176470588235,8
60,251,6.66,1.74,4.32999992370605,1.29,0.52,1.30999994277954,20000,1906.96448,544.172413793103,0.0447111610085316,623.322580645161,8
61,179,2.61,8.98,3.13000011444092,2.94,1.63,0.759999990463257,20000,1389.68689,1430.36111111111,0.0242688357402559,1029.32432432432,4
63,143,20.9,4.18,3.4300000667572,5.49,0.69,0.879999995231628,20000,2789.47754,944.923076923077,0.0253977230259279,578.266666666667,1
64,31,10.31,3.11,1.26999998092651,0.87,0.12,0.300000011920929,20000,1202.86987,78.3333333333333,0.0871153469970014,503.571428571429,2
66,195,2.14,1.64,5.3600001335144,3,0.31,1.87000000476837,20000,2365.45679,900.613636363636,0.030166193704419,919.644444444444,8
68,231,12.64,3.29,3.77999997138977,1.78,0.85,1,20000,1174.98608,1143.53846153846,0.0263651162310269,845.633333333333,3
70,192,8.71,9.89,1.61000001430511,1.92,2.11,0.319999992847443,20000,1168.80994,724.125,0.0222938473521463,537.888888888889,8
73,46,16.67,2.65,-5.09000015258789,2.05,0.15,0,20000,2337.40723,481,0.034429490044978,709.4,2
74,162,50.08,32.17,0.75,10.46,13.07,0.119999997317791,20000,1409.09363,535.466666666667,0.00441223439091594,294.3125,4
75,250,7.75,3.08,2.95000004768372,1.31,0.89,0.699999988079071,20000,1870.91016,857.3,0.0357537489213774,387.666666666667,1
78,825,26.27,15.84,2.01999998092651,6.27,28.76,0.5,20000,1229.05505,608.444444444444,0.00667212178671511,314.6,4
80,34,6.71,4.27,2.96000003814697,1.66,0.23,0.620000004768372,20000,1524.97925,1,0.0491350628570949,876.588235294118,2
82,240,0.59,3.51,3.53999996185303,2.4,1.25,0.990000009536743,20000,2534.24023,1016.125,0.0255174740824259,930.52,6
83,167,62.31,7.8,2.59999990463257,3.96,2.07,0.560000002384186,20000,1529.65503,846.083333333333,0.0196749064891624,457.92,8
